MatchID,Winner,WinChance,Winner_mu,Winner_sigma,Looser,Looser_mu,Looser_sigma
2307672,ROYALS,0.407,31.460606219478954,6.161719631891471,FlipSid3,27.332127712566717,0.8313919309216515
2307789,Team123,0.508,29.347319636453207,4.3393086824858464,Gambit,26.528169398922174,0.9802699645790981
2307737,Heroic,0.504,27.794542470837296,1.043282088640243,NIP,27.496809672579985,0.8054229685390945
2307788,Epsilon,0.443,25.971648829495944,1.065472877856628,GODSENT,26.537195344973238,0.9340561503256316
2307736,Natus Vincere,0.503,27.104515849203793,0.814862862623716,Astralis,26.88670721232928,0.8114128055275718
2307739,NIP,0.48,27.586866865146973,0.8049983233953513,Heroic,27.64408577365177,1.036383170241424
2307791,Crowns,0.206,26.201246358128678,5.095873450387814,GODSENT,26.402940782181037,0.9338443466587542
2307738,Natus Vincere,0.514,27.19110237099554,0.8143081641952331,Astralis,26.800844764980088,0.8109363432265796
2307741,FaZe,0.625,27.37046046193215,0.8250079309108234,Kinguin,25.143876742387608,1.420876042129104
2307740,Astralis,0.526,26.884586510492742,0.8105190696620952,mousesports,26.323340176818917,0.8090547675500336
2307745,FaZe,0.642,27.43581477074057,0.825008259877393,Kinguin,24.951322509532115,1.4019824665008687
2307742,Astralis,0.537,26.96633886901579,0.8101587080440453,mousesports,26.241879855699683,0.8087269486627551
2307743,Rush,0.498,30.434082703280016,6.333146618343647,Cloud9,25.00031733629608,0.8098128983825584
2307744,OpTic,0.691,25.906770482324323,0.8204474158460291,Selfless,22.70046680832626,1.1846504972426992
2307747,Rush,0.734,32.49735551271247,5.468243349191889,Cloud9,24.966230517892193,0.812375290613127
2307751,Selfless,0.299,22.970561339641314,1.1707126024815189,OpTic,25.776528628351215,0.8190422054356408
