"ID","Date","Event","Team 1","Team 2","Team 1 Odds","Team 2 Odds","Team 1 Score","Team 2 Score","Outcome","Team 1 Entries","Team 2 Entries","Team 1 Clutches","Team 2 Clutches","Team 1 Kills mean","Team 2 Kills mean","Team 1 Kills sd","Team 2 Kills sd","Team 1 Assists mean","Team 2 Assists mean","Team 1 Assists sd","Team 2 Assists sd","Team 1 HS mean","Team 2 HS mean","Team 1 HS sd","Team 2 HS sd","Team 1 Flashes mean","Team 2 Flashes mean","Team 1 Flashes sd","Team 2 Flashes sd","Team 1 Deaths mean","Team 2 Deaths mean","Team 1 Deaths sd","Team 2 Deaths sd","Team 1 KAST mean","Team 2 KAST mean","Team 1 KAST sd","Team 2 KAST sd","Team 1 K/D Diff mean","Team 2 K/D Diff mean","Team 1 K/D Diff sd","Team 2 K/D Diff sd","Team 1 ADR mean","Team 2 ADR mean","Team 1 ADR sd","Team 2 ADR sd","Team 1 FK Diff mean","Team 2 FK Diff mean","Team 1 FK Diff sd","Team 2 FK Diff sd","Team 1 Rating mean","Team 2 Rating mean","Team 1 Rating sd","Team 2 Rating sd","Team 1 KDA mean","Team 2 KDA mean","Team 1 KDA sd","Team 2 KDA sd","Team 1 HSpc mean","Team 2 HSpc mean","Team 1 HSpc sd","Team 2 HSpc sd"
2301901,2016-04-07,"ESL Pro League Season 3","Virtus.pro","SK",NA,NA,12,16,2,8,20,1,3,17.8,20.6,4.324,4.159,3.8,4,1.789,1.581,5.2,9,4.087,3.082,NA,NA,NA,NA,20.6,17.8,2.191,1.304,0.628,0.722,0.09,0.059,-2.8,2.8,4.868,5.07,72.76,79.8,12.748,15.503,-2.4,2.4,1.817,1.673,0.904,1.194,0.113,0.245,1.055,1.392,0.166,0.241,0.279,0.442,0.196,0.132
2301902,2016-04-07,"ESL Pro League Season 3","Envy","Dignitas",NA,NA,14,16,2,17,13,0,3,21.6,20.8,3.507,5.45,3.8,3.8,2.775,2.95,8.8,9.8,0.837,2.168,NA,NA,NA,NA,20.8,21.6,1.095,2.408,0.693,0.7,0.064,0.041,0.8,-0.8,3.421,5.675,77.48,77,9.57,18.856,0.8,-0.8,1.924,1.924,1.08,1.04,0.104,0.211,1.217,1.141,0.144,0.153,0.415,0.477,0.069,0.051
2301943,2016-04-08,"ECS Season 1 Qualifier","AGG","Gambit",NA,NA,0,2,2,14,13.5,1.5,2,18.3,19.8,5.973,5.281,3.1,4.8,1.789,1.935,8,8.5,2.968,3.018,NA,NA,NA,NA,19.9,18.3,1.956,2.316,0.653,0.712,0.088,0.068,-1.6,1.5,7.35,4.451,74.2,79.84,20.071,16.657,0.1,-0.1,3.04,2.026,0.997,1.102,0.313,0.206,1.087,1.344,0.384,0.258,0.44,0.436,0.075,0.117
2301903,2016-04-08,"ESL Pro League Season 3","Dignitas","Envy",NA,NA,16,7,1,17,6,1,1,18.6,13,6.025,2.828,2.8,3.2,1.304,1.304,8.4,7.8,2.608,2.588,NA,NA,NA,NA,13.2,18.6,3.271,1.517,0.774,0.574,0.036,0.072,5.4,-5.6,7.301,2.793,87.46,64.32,32.264,8.155,2.2,-2.2,2.775,1.789,1.334,0.77,0.453,0.152,1.744,0.87,0.729,0.112,0.466,0.591,0.114,0.089
2301912,2016-04-08,"ESL Pro League Season 3","Cloud9","Liquid",NA,NA,8,16,2,11,13,1,4,14.6,18.8,2.881,5.45,2.8,4.2,0.447,2.49,9.4,8.8,3.578,4.382,NA,NA,NA,NA,18.8,14.6,1.095,1.817,0.658,0.717,0.104,0.095,-4.2,4.2,2.588,6.261,71.3,82.46,11.838,25.879,-0.4,0.4,1.673,2.074,0.926,1.226,0.114,0.331,0.926,1.6,0.148,0.519,0.63,0.459,0.177,0.134
2301913,2016-04-08,"ESL Pro League Season 3","Liquid","Cloud9",NA,NA,16,5,1,9,12,1,1,17.4,10.8,2.074,4.382,3,2.4,1.414,1.817,6.8,4.8,2.387,2.588,NA,NA,NA,NA,10.8,17.4,2.775,1.817,0.781,0.552,0.072,0.087,6.6,-6.6,3.362,3.578,85.6,65.96,13.352,23.21,-0.6,0.6,2.074,1.817,1.368,0.736,0.17,0.226,2.002,0.751,0.588,0.236,0.398,0.456,0.148,0.161
2301906,2016-04-08,"ESL Pro League Season 3","OpTic","Liquid",NA,NA,10,16,2,13,13,1,2,14.6,18.6,2.881,5.857,3.4,2.8,1.817,1.304,6.2,8,1.924,4.359,NA,NA,NA,NA,18.6,14.6,0.894,2.302,0.646,0.769,0.074,0.09,-4,4,3.391,5.431,66.34,80.62,9.511,19.261,0,0,1.732,2.739,0.892,1.214,0.115,0.236,0.969,1.484,0.113,0.467,0.424,0.395,0.115,0.173
2301907,2016-04-08,"ESL Pro League Season 3","Liquid","OpTic",NA,NA,16,12,1,14,14,2,2,20.4,19,5.595,5.385,3.4,2.4,1.817,0.548,8,8,4.472,2.739,NA,NA,NA,NA,19,20.4,1.871,2.51,0.7,0.664,0.041,0.103,1.4,-1.4,5.03,6.504,75.6,75.5,12.968,15.104,0,0,3.24,1.581,1.09,0.992,0.224,0.287,1.249,1.071,0.179,0.33,0.372,0.421,0.119,0.07
2301964,2016-04-08,"Hitbox Challenger Cup","AGG","Empire",NA,NA,2,0,1,13.5,4.5,1.5,0,16.1,8.2,3.784,1.882,2.7,2.1,1.306,1.255,7.4,3.7,2.163,1.409,NA,NA,NA,NA,8.3,16.1,1.999,0.844,0.862,0.523,0.047,0.115,7.8,-7.9,3.018,2.251,91.57,57.14,25.089,11.065,1.8,-1.8,2.594,1.222,1.548,0.576,0.302,0.173,2.317,0.645,0.554,0.145,0.471,0.472,0.109,0.209
2301960,2016-04-08,"ECS Season 1 Qualifier","mousesports","HellRaisers",NA,NA,3,2,1,15.8,12.6,2,2.8,20.36,19.08,5.696,5.791,4.48,3.68,2.311,1.945,8.84,7.68,3.193,2.634,NA,NA,NA,NA,19.12,20.4,2.209,2.022,0.725,0.656,0.066,0.078,1.24,-1.32,6.44,6.659,79.004,73.552,18.96,16.576,0.64,-0.64,2.459,2.518,1.134,0.992,0.264,0.273,1.377,1.131,0.38,0.345,0.44,0.417,0.115,0.133
