MatchID,Team1,Team2,Team1Odds,Team2Odds,Winner,Team1winchance,Team2winchance,w_ts_after_game,l_ts_after_game,w_ts_before_game,l_ts_before_game
2340852,193,363,1.28,3.5,1,0.526,0.474,"trueskill.Rating(mu=27.355, sigma=0.795)","trueskill.Rating(mu=26.808, sigma=0.801)","trueskill.Rating(mu=27.274, sigma=0.795)","trueskill.Rating(mu=26.889, sigma=0.801)"
2340853,213,211,3.75,1.25,2,0.42200000000000004,0.578,"trueskill.Rating(mu=28.326, sigma=0.803)","trueskill.Rating(mu=27.005, sigma=0.803)","trueskill.Rating(mu=28.252, sigma=0.803)","trueskill.Rating(mu=27.078, sigma=0.803)"
2340904,584,313,5.5,1.12,2,0.4,0.6,"trueskill.Rating(mu=27.641, sigma=0.811)","trueskill.Rating(mu=20.634, sigma=6.548)","trueskill.Rating(mu=27.600, sigma=0.808)","trueskill.Rating(mu=25.000, sigma=8.333)"
2340902,301,67,1.06,8.0,1,0.861,0.139,"trueskill.Rating(mu=28.506, sigma=0.799)","trueskill.Rating(mu=20.342, sigma=3.575)","trueskill.Rating(mu=28.482, sigma=0.796)","trueskill.Rating(mu=20.862, sigma=3.766)"
2340903,192,172,1.2,4.33,1,0.584,0.41600000000000004,"trueskill.Rating(mu=27.514, sigma=0.852)","trueskill.Rating(mu=26.085, sigma=0.796)","trueskill.Rating(mu=27.433, sigma=0.853)","trueskill.Rating(mu=26.156, sigma=0.795)"
2340855,652,337,1.07,7.5,2,0.556,0.444,"trueskill.Rating(mu=28.449, sigma=1.597)","trueskill.Rating(mu=28.836, sigma=0.801)","trueskill.Rating(mu=28.063, sigma=1.634)","trueskill.Rating(mu=28.930, sigma=0.801)"
2340828,137,343,3.75,1.25,2,0.493,0.507,"trueskill.Rating(mu=27.118, sigma=0.800)","trueskill.Rating(mu=26.846, sigma=0.797)","trueskill.Rating(mu=27.033, sigma=0.800)","trueskill.Rating(mu=26.930, sigma=0.797)"
2340905,180,2,1.53,2.37,2,0.5740000000000001,0.426,"trueskill.Rating(mu=27.245, sigma=1.552)","trueskill.Rating(mu=27.841, sigma=1.132)","trueskill.Rating(mu=26.871, sigma=1.585)","trueskill.Rating(mu=28.035, sigma=1.142)"
2340829,56,632,1.44,2.62,2,0.548,0.452,"trueskill.Rating(mu=28.754, sigma=0.795)","trueskill.Rating(mu=29.284, sigma=0.800)","trueskill.Rating(mu=28.661, sigma=0.796)","trueskill.Rating(mu=29.378, sigma=0.800)"
2340831,115,560,1.83,1.83,2,0.38,0.62,"trueskill.Rating(mu=27.476, sigma=0.824)","trueskill.Rating(mu=25.510, sigma=0.803)","trueskill.Rating(mu=27.405, sigma=0.824)","trueskill.Rating(mu=25.577, sigma=0.803)"
2340922,67,192,3.5,1.28,2,0.15100000000000002,0.849,"trueskill.Rating(mu=27.543, sigma=0.854)","trueskill.Rating(mu=19.834, sigma=3.401)","trueskill.Rating(mu=27.514, sigma=0.852)","trueskill.Rating(mu=20.342, sigma=3.575)"
2340920,301,313,1.25,3.75,1,0.557,0.44299999999999995,"trueskill.Rating(mu=28.582, sigma=0.799)","trueskill.Rating(mu=27.563, sigma=0.810)","trueskill.Rating(mu=28.506, sigma=0.799)","trueskill.Rating(mu=27.641, sigma=0.811)"
2340856,363,652,4.0,1.22,1,0.368,0.632,"trueskill.Rating(mu=26.918, sigma=0.800)","trueskill.Rating(mu=28.725, sigma=0.800)","trueskill.Rating(mu=26.808, sigma=0.801)","trueskill.Rating(mu=28.836, sigma=0.801)"
2340857,211,193,1.9,1.8,2,0.5640000000000001,0.436,"trueskill.Rating(mu=27.451, sigma=0.795)","trueskill.Rating(mu=28.228, sigma=0.803)","trueskill.Rating(mu=27.355, sigma=0.795)","trueskill.Rating(mu=28.326, sigma=0.803)"
2340859,117,213,2.62,1.44,2,0.33599999999999997,0.664,"trueskill.Rating(mu=27.060, sigma=0.804)","trueskill.Rating(mu=23.691, sigma=2.471)","trueskill.Rating(mu=27.005, sigma=0.803)","trueskill.Rating(mu=24.256, sigma=2.582)"
2340832,343,149,1.44,2.62,1,0.533,0.46699999999999997,"trueskill.Rating(mu=27.198, sigma=0.800)","trueskill.Rating(mu=26.545, sigma=0.810)","trueskill.Rating(mu=27.118, sigma=0.800)","trueskill.Rating(mu=26.627, sigma=0.810)"
2340833,137,632,5.0,1.14,1,0.375,0.625,"trueskill.Rating(mu=26.954, sigma=0.796)","trueskill.Rating(mu=28.646, sigma=0.795)","trueskill.Rating(mu=26.846, sigma=0.797)","trueskill.Rating(mu=28.754, sigma=0.795)"
2340835,56,560,1.25,3.75,1,0.618,0.382,"trueskill.Rating(mu=29.350, sigma=0.800)","trueskill.Rating(mu=27.405, sigma=0.824)","trueskill.Rating(mu=29.284, sigma=0.800)","trueskill.Rating(mu=27.476, sigma=0.824)"
2340860,337,193,5.0,1.14,2,0.5640000000000001,0.436,"trueskill.Rating(mu=27.545, sigma=0.795)","trueskill.Rating(mu=28.074, sigma=1.563)","trueskill.Rating(mu=27.451, sigma=0.795)","trueskill.Rating(mu=28.449, sigma=1.597)"
2340834,247,115,2.62,1.44,1,0.47,0.53,"trueskill.Rating(mu=25.599, sigma=1.977)","trueskill.Rating(mu=25.422, sigma=0.803)","trueskill.Rating(mu=25.033, sigma=2.047)","trueskill.Rating(mu=25.510, sigma=0.803)"
2340925,111,180,3.5,1.28,1,0.428,0.5720000000000001,"trueskill.Rating(mu=26.842, sigma=0.800)","trueskill.Rating(mu=27.646, sigma=1.121)","trueskill.Rating(mu=26.744, sigma=0.801)","trueskill.Rating(mu=27.841, sigma=1.132)"
2340927,2,526,1.16,4.5,1,0.667,0.33299999999999996,"trueskill.Rating(mu=27.422, sigma=1.536)","trueskill.Rating(mu=22.739, sigma=3.840)","trueskill.Rating(mu=27.245, sigma=1.552)","trueskill.Rating(mu=24.050, sigma=4.221)"
