ID,Team.1.Odds,Team.2.Odds,Outcome,Prob.Team.1,Prob.Team.2,prediction,TK1,TK2
2343778,1.440000000000001,2.62,1,0.64,0.36,1,0.0,0.0
2316381,2.0,1.7200000000000009,1,0.444,0.556,2,0.0,0.0
2319956,1.7999999999999985,1.9000000000000008,2,0.628,0.372,1,0.02,0.0
2344826,1.6599999999999995,2.1000000000000005,1,0.626,0.374,1,0.01,0.0
2323141,2.749999999999997,1.4000000000000001,2,0.336,0.664,2,0.0,0.0
2342367,2.0,1.7200000000000009,2,0.464,0.536,2,0.0,0.0
2314778,4.330000000000002,1.2000000000000004,1,0.384,0.616,2,0.02,0.0
2334621,1.440000000000001,2.62,1,0.64,0.36,1,0.0,0.0
2319437,1.3300000000000005,3.249999999999997,2,0.598,0.402,1,0.0,0.01
2340410,3.3999999999999946,1.3000000000000005,1,0.408,0.592,2,0.02,0.0
2330825,2.250000000000002,1.5699999999999992,1,0.394,0.606,2,0.0,0.0
2337102,1.25,3.7499999999999956,2,0.576,0.424,1,0.0,0.02
2332495,1.1,6.499999999999994,1,0.914,0.086,1,0.01,0.0
2327710,1.22,4.0,2,0.736,0.264,1,0.0,0.0
2313929,2.370000000000001,1.5300000000000002,2,0.348,0.652,2,0.0,0.0
2319879,2.370000000000001,1.5300000000000002,2,0.39,0.61,2,0.0,0.0
2329214,1.1,6.499999999999994,1,0.5519459459459459,0.4480540540540541,1,0.0,0.03
2344707,1.5300000000000002,2.370000000000001,1,0.728,0.272,1,0.02,0.0
2317599,1.8300000000000003,1.8300000000000003,1,0.42,0.58,2,0.0,0.01
2316289,1.3599999999999994,3.0000000000000027,1,0.542,0.458,1,0.0,0.02
2318594,2.0,1.7200000000000009,2,0.596,0.404,1,0.02,0.0
2321793,1.3000000000000005,3.3999999999999946,1,0.58,0.42,1,0.0,0.02
2328428,1.3000000000000005,3.3999999999999946,1,0.866,0.134,1,0.04,0.0
2331708,3.7499999999999956,1.25,2,0.194,0.806,2,0.0,0.0
2317453,1.6100000000000008,2.1999999999999975,1,0.474,0.526,2,0.0,0.01
2313856,2.1000000000000005,1.6599999999999995,2,0.438,0.562,2,0.0,0.0
2313942,2.370000000000001,1.5300000000000002,2,0.396,0.604,2,0.0,0.0
2328412,7.500000000000019,1.0700000000000007,2,0.164,0.836,2,0.0,0.0
2340645,2.0,1.7200000000000009,1,0.474,0.526,2,0.0,0.0
2327472,1.1600000000000006,4.500000000000004,1,0.772,0.228,1,0.0,0.0
2334608,2.749999999999997,1.4000000000000001,2,0.218,0.782,2,0.0,0.02
